ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4816,Hexi Biogas Recovery and Utilization Project,"Fengcheng Xinfengtai Environment Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"55,019",Asia,2024-09-20,2022-05-05,2029-05-04
4818,Linfen MSW Incineration and Power Generation Project,Linfen Canvest Environmental Power Company Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,"107,358",Asia,2024-10-21,2022-06-14,2029-06-13
4784,Wuhan Jiangxia Changshankou LFG Power Project Phase I,"Wuhan Huantou Environmental Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"315,570",Asia,2024-08-13,2022-03-10,2032-03-09
4736,CHENGZI RECYCLED AL PROJECT A,Multiple Proponents,Waste handling and disposal,,AMS-III.AJ.,Registered,China,"59,059",Asia,2024-08-23,2022-03-01,2029-02-28
4731,"Biogas based Poultry Waste Management Project at Siddipet District, Telangana State, India",Sunmax Hatcheries Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Registered,India,"26,608",Asia,2024-09-15,2024-01-28,2031-01-27
4715,Jinghai Leachate Anaerobic Biogas Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Registered,China,"33,996",Asia,2024-05-29,2022-07-12,2032-07-11
4703,Xingning Tokzin PET Recycling Project,"Xingning Tokzin Yinghui Resources Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"38,176",Asia,2024-08-20,2022-04-06,2029-04-05
4679,Project Reignite: Turning Farm Waste to Climate Action,SRCNatura Sure Pvt. Ltd.,Waste handling and disposal,,VM0044,Registered,India,"110,760",Asia,2024-08-27,2023-10-16,2030-10-15
4675,HUOSHENGYUAN COMPOSTING PROJECT IN MIANYANG CITY,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"56,753",Asia,2024-07-23,2022-01-01,2031-12-31
4669,"100 MW Solar PV project by ERBL, Bangladesh",Energon Renewables (BD) Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Bangladesh,"106,019",Asia,2024-06-26,2021-12-29,2028-12-28
